file_name,download_url,downloads,date,topic_name,category,post_url,post#
TrendMeLeaveMe.mq4,/attachment/file/73553?d=1198019668,955,"Dec 19, 2007 2:40amDec 19, 2007 2:40am",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/1765702#post1765702,336
TrendMeLeaveMe.doc,/attachment/file/73554?d=1198019668,955,"Dec 19, 2007 2:40amDec 19, 2007 2:40am",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/1765702#post1765702,336
Price Alert 1.1.mq4,/attachment/file/73755?d=1198093897,652,"Dec 19, 2007 10:45pmDec 19, 2007 10:45pm",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/1767179#post1767179,365
Alerter.mq4,/attachment/file/74289?d=1198353504,514,"Dec 22, 2007 11:29pmDec 22, 2007 11:29pm",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/1770960#post1770960,402
Clock v1_2.mq4,/attachment/file/92071?d=1204671438,491,"Edited 6:45amFeb 26, 2008 6:30am|Edited                    6:45am",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/1884407#post1884407,686
My Method.doc,/attachment/file/1111680?d=1357592690,1241,"Jan 4, 2012 5:35pmJan 4, 2012 5:35pm",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/6344781#post6344781,807
My Method.doc,/attachment/file/1133570?d=1360537716,1199,"Jan 14, 2013 8:16pmJan 14, 2013 8:16pm",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/6434113#post6434113,831
My Method.doc,/attachment/file/1141647?d=1361730920,2262,"Edited 5:47pmFeb 23, 2013 10:01am|Edited                    5:47pm",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/6469573#post6469573,843
StrategyTester TKC System EA EU M30.zip,/attachment/file/2047355?d=1477331086,465,"Edited 5:47pmFeb 23, 2013 10:01am|Edited                    5:47pm",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/9215382#post9215382,860
HOLY GRAIL 1.6.ex4,/attachment/file/3027930?d=1538923245,856,"Edited Nov 14, 2016 8:03pmNov 13, 2016 9:23pm|Edited                    Nov 14, 2016 8:03pm",The Holy Grail - Found,Rookie Talk,https://www.forexfactory.com/thread/post/11555966#post11555966,870
SolarWind.mq4,/attachment/file/20215?d=1169493768,4425,"FirstPost:Jan 22, 2007 8:58pmJan 22, 2007 8:58pm",What is the Solar Wind indicator?,Rookie Talk,https://www.forexfactory.com/thread/post/194251#post194251,2
Fisher_Yur4ik2.mq4,/attachment/file/20977?d=1170260196,4179,"FirstPost:Jan 22, 2007 8:58pmJan 22, 2007 8:58pm",What is the Solar Wind indicator?,Rookie Talk,https://www.forexfactory.com/thread/post/203586#post203586,13
FX_FISH_2MA.mq4,/attachment/file/21113?d=1170361645,2162,"FirstPost:Jan 22, 2007 8:58pmJan 22, 2007 8:58pm",What is the Solar Wind indicator?,Rookie Talk,https://www.forexfactory.com/thread/post/205092#post205092,14
Solar Winds joy - histo (no repaint with alert).mq4,/attachment/file/3894869?d=1616275602,694,"FirstPost:Jan 22, 2007 8:58pmJan 22, 2007 8:58pm",What is the Solar Wind indicator?,Rookie Talk,https://www.forexfactory.com/thread/post/13461522#post13461522,18
ATR Trailing Stop.mq4,/attachment/file/4151?d=1142692330,1873,"FirstPost:Mar 18, 2006 5:04pmMar 18, 2006 5:04pm",MQL4 code help,Rookie Talk,https://www.forexfactory.com/thread/post/47234#post47234,4
Top 10 Free Forex Trading PDFs.pdf,/attachment/file/3791755?d=1605688216,278,"Edited 12:03pmMay 31, 2018 10:49am|Edited                    12:03pm",Trading (e)Books by MoneyZilla,Rookie Talk,https://www.forexfactory.com/thread/post/13269340#post13269340,108
Top 5 Technical Analysis PDFs.pdf,/attachment/file/3791757?d=1605688289,278,"Edited 12:03pmMay 31, 2018 10:49am|Edited                    12:03pm",Trading (e)Books by MoneyZilla,Rookie Talk,https://www.forexfactory.com/thread/post/13269340#post13269340,108
Forex Backdoor.pdf,/attachment/file/3869525?d=1613877033,301,"Edited 12:03pmMay 31, 2018 10:49am|Edited                    12:03pm",Trading (e)Books by MoneyZilla,Rookie Talk,https://www.forexfactory.com/thread/post/13419461#post13419461,112
whatever.xlsx,/attachment/file/1944181?d=1465093149,228,"Jan 19, 2014 7:04pmJan 19, 2014 7:04pm",Is it possible to earn 30% per month consistently for 4 years?,Rookie Talk,https://www.forexfactory.com/thread/post/8962695#post8962695,172
Lotsize calcolator.xls,/attachment/file/4139426?d=1644251666,164,"FirstPost:Edited 11:00pmFeb 7, 2022 10:34pm|Edited                    11:00pm",Risk Management - the recipe,Rookie Talk,https://www.forexfactory.com/thread/1137115-risk-management-the-recipe,1
#Momentum onChartSignals Indicator v1.0.mq4,/attachment/file/699145?d=1305363954,36603,"FirstPost:Jul 22, 2008 3:41pmJul 22, 2008 3:41pm",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/4617862#post4617862,6
BUY-SELL.SIGNAL.mq4,/attachment/file/2625437?d=1515459239,3208,"Mar 1, 2015 8:50pmMar 1, 2015 8:50pm",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/10651901#post10651901,36
Averages ribbon 3 (arrows + candles).ex4,/attachment/file/2645471?d=1516744887,4034,"Mar 1, 2015 8:50pmMar 1, 2015 8:50pm",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/10700854#post10700854,39
RoadMap_of_Swing...ex4,/attachment/file/2770431?d=1524384570,2364,"Mar 6, 2018 1:29pmMar 6, 2018 1:29pm",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/10987349#post10987349,71
CO_NL_FTL.ex4,/attachment/file/2770434?d=1524384590,2364,"Mar 6, 2018 1:29pmMar 6, 2018 1:29pm",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/10987349#post10987349,71
CO_NL_HG_TRADER_Arrows_Alert.ex4,/attachment/file/2770437?d=1524384659,2364,"Mar 6, 2018 1:29pmMar 6, 2018 1:29pm",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/10987349#post10987349,71
CO_NL_BIG_LOT_ARROW_CONTINUE.ex4,/attachment/file/2978767?d=1536190234,2336,"Mar 6, 2018 1:29pmMar 6, 2018 1:29pm",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/11446604#post11446604,76
BuySellArrowScalper_V2.0.ex4_ (1).zip,/attachment/file/3161004?d=1547167460,1735,"Sep 20, 2018 2:33amSep 20, 2018 2:33am",What best indicator to entry signal and TREND?,Rookie Talk,https://www.forexfactory.com/thread/post/11870659#post11870659,89
Trading for Infinite yield-- Utility theory and you.pdf,/attachment/file/103891?d=1208454213,17550,"Apr 16, 2008 1:32amApr 16, 2008 1:32am",No Free Lunch but all the Free Coffee you can drink,Rookie Talk,https://www.forexfactory.com/thread/post/1956866#post1956866,71
Trading Session vLines.ex4,/attachment/file/109382?d=1210065893,1915,"May 5, 2008 9:11pmMay 5, 2008 9:11pm",No Free Lunch but all the Free Coffee you can drink,Rookie Talk,https://www.forexfactory.com/thread/post/1985861#post1985861,108
Inside.mq4,/attachment/file/120369?d=1213118420,1314,"Jun 7, 2008 3:46pmJun 7, 2008 3:46pm",No Free Lunch but all the Free Coffee you can drink,Rookie Talk,https://www.forexfactory.com/thread/post/2047593#post2047593,413
Contract Calculator-Trading Journal Samp.xls,/attachment/file/202042?d=1233962260,393,"FirstPost:Feb 7, 2009 5:18amFeb 7, 2009 5:18am",The Disciplined Trader,Rookie Talk,https://www.forexfactory.com/thread/151561-the-disciplined-trader,1
2MACross.ex4,/attachment/file/4018923?d=1629640740,354,"FirstPost:Feb 7, 2009 5:18amFeb 7, 2009 5:18am",The Disciplined Trader,Rookie Talk,https://www.forexfactory.com/thread/post/13677549#post13677549,2
FOREEX SNIPER KILLER Entry Alert.ex4,/attachment/file/4018924?d=1629640740,354,"FirstPost:Feb 7, 2009 5:18amFeb 7, 2009 5:18am",The Disciplined Trader,Rookie Talk,https://www.forexfactory.com/thread/post/13677549#post13677549,2
FOREX SNIPER KILLER Aka FSK Plugin.ex4,/attachment/file/4018925?d=1629640741,354,"FirstPost:Feb 7, 2009 5:18amFeb 7, 2009 5:18am",The Disciplined Trader,Rookie Talk,https://www.forexfactory.com/thread/post/13677549#post13677549,2
ptl 2.07 (alerts + lines).ex4,/attachment/file/4018926?d=1629640741,354,"FirstPost:Feb 7, 2009 5:18amFeb 7, 2009 5:18am",The Disciplined Trader,Rookie Talk,https://www.forexfactory.com/thread/post/13677549#post13677549,2
trend finder 4hr-mod.tpl,/attachment/file/4018927?d=1629640886,354,"FirstPost:Feb 7, 2009 5:18amFeb 7, 2009 5:18am",The Disciplined Trader,Rookie Talk,https://www.forexfactory.com/thread/post/13677549#post13677549,2
STreport-a1-tickdata.zip,/attachment/file/689533?d=1304253905,219,"Edited 6:45pmMay 1, 2011 5:55pm|Edited                    6:45pm",What is your weekly return?,Rookie Talk,https://www.forexfactory.com/thread/post/4583259#post4583259,201
time to next bar.mq4,/attachment/file/222363?d=1237804954,306,"FirstPost:Mar 23, 2009 4:10pmMar 23, 2009 4:10pm",indicator to show when a candle is closing?,Rookie Talk,https://www.forexfactory.com/thread/post/2622131#post2622131,2
shows pips-pnl.ex4,/attachment/file/4007855?d=1628284423,76,"FirstPost:Mar 23, 2009 4:10pmMar 23, 2009 4:10pm",indicator to show when a candle is closing?,Rookie Talk,https://www.forexfactory.com/thread/post/13658801#post13658801,4
TradeManager_v5.ex4,/attachment/file/696964?d=1305128979,5021,"FirstPost:May 11, 2011 9:54pmMay 11, 2011 9:54pm",Trade Manager Automated System - free download,Rookie Talk,https://www.forexfactory.com/thread/293850-trade-manager-automated-system-free-download,1
KAMA.mq4,/attachment/file/696965?d=1305129004,5021,"FirstPost:May 11, 2011 9:54pmMay 11, 2011 9:54pm",Trade Manager Automated System - free download,Rookie Talk,https://www.forexfactory.com/thread/293850-trade-manager-automated-system-free-download,1
Kill 60 sec trades.zip,/attachment/file/2236973?d=1490004987,883,"Sep 29, 2015 10:34pmSep 29, 2015 10:34pm",Binary Option Trading,Rookie Talk,https://www.forexfactory.com/thread/post/9685300#post9685300,64
trenddashboard.pdf,/attachment/file/2236975?d=1490005010,883,"Sep 29, 2015 10:34pmSep 29, 2015 10:34pm",Binary Option Trading,Rookie Talk,https://www.forexfactory.com/thread/post/9685300#post9685300,64
ReCharged_SMG EA.ex4,/attachment/file/2757582?d=1523516851,288,"Nov 8, 2017 1:44pmNov 8, 2017 1:44pm",More than 100 pips,Rookie Talk,https://www.forexfactory.com/thread/post/10957845#post10957845,32
Virus System.mq4,/attachment/file/132678?d=1216826085,1546,"Jul 23, 2008 11:37amJul 23, 2008 11:37am",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/2124050#post2124050,56
Virus System.mq4,/attachment/file/132695?d=1216829694,1839,"Jul 23, 2008 11:37amJul 23, 2008 11:37am",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/2124192#post2124192,59
Ticks.mq4,/attachment/file/135123?d=1217459114,1358,"Jul 30, 2008 12:16pmJul 30, 2008 12:16pm",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/2138196#post2138196,94
Virus Indicator.mq4,/attachment/file/146674?d=1220981744,1622,"Aug 31, 2008 7:58amAug 31, 2008 7:58am",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/2209481#post2209481,128
Virus System.mq4,/attachment/file/591225?d=1291298278,661,"Jul 19, 2010 7:10pmJul 19, 2010 7:10pm",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/4215479#post4215479,208
EUR_USD - 5 secondi.pdf,/attachment/file/859505?d=1324309067,671,"Jul 19, 2010 7:10pmJul 19, 2010 7:10pm",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/5234118#post5234118,220
EUR_USD - 5 secondibis.pdf,/attachment/file/859543?d=1324310361,772,"Dec 19, 2011 9:45pmDec 19, 2011 9:45pm",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/5234171#post5234171,223
EUR_USD - 5 secondi.pdf,/attachment/file/859593?d=1324315098,724,"Dec 19, 2011 9:45pmDec 19, 2011 9:45pm",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/5234356#post5234356,224
EUR_USD - 5 secondibis.pdf,/attachment/file/859597?d=1324315224,735,"Dec 19, 2011 9:45pmDec 19, 2011 9:45pm",Virus System,Rookie Talk,https://www.forexfactory.com/thread/post/5234365#post5234365,225
martigalestylestrategy.zip,/attachment/file/18349?d=1168159599,12202,"FirstPost:Jan 7, 2007 1:31pmJan 7, 2007 1:31pm",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/178125#post178125,7
Burger Martingale Hedge.ex4,/attachment/file/28441?d=1176278969,4875,"Jan 8, 2007 5:32amJan 8, 2007 5:32am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/268684#post268684,39
Statement.zip,/attachment/file/33435?d=1180431549,1909,"Apr 13, 2007 9:46amApr 13, 2007 9:46am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/1452873#post1452873,57
sequence.zip,/attachment/file/33519?d=1180503426,2228,"Apr 13, 2007 9:46amApr 13, 2007 9:46am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/1453767#post1453767,59
martigalestylestrategy.zip,/attachment/file/161203?d=1224800723,2995,"Jun 2, 2007 3:56amJun 2, 2007 3:56am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/2301061#post2301061,66
FireStorm 2 month report.zip,/attachment/file/579008?d=1289572884,1642,"Jun 2, 2007 3:56amJun 2, 2007 3:56am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/4168865#post4168865,78
Martingale 2312.mq4,/attachment/file/708032?d=1306431191,10765,"Nov 17, 2010 12:06amNov 17, 2010 12:06am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/4647340#post4647340,82
FireStorm Elite Manual.pdf,/attachment/file/813826?d=1319427945,6811,"Nov 17, 2010 12:06amNov 17, 2010 12:06am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/5065366#post5065366,85
Ilan16_v1.mq4,/attachment/file/863773?d=1324991693,4744,"Nov 17, 2010 12:06amNov 17, 2010 12:06am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/5249262#post5249262,98
ilan_trio_v147.mq4,/attachment/file/863774?d=1324991693,4744,"Nov 17, 2010 12:06amNov 17, 2010 12:06am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/5249262#post5249262,98
Burger Martingale Hedge.ex4,/attachment/file/1274815?d=1379249379,2355,"Dec 28, 2011 9:22amDec 28, 2011 9:22am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/6965365#post6965365,115
statement.pdf,/attachment/file/1596922?d=1422250358,2730,"Jan 23, 2015 8:31amJan 23, 2015 8:31am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/8022918#post8022918,136
Martingale102.ex4,/attachment/file/2410708?d=1500965347,943,"Jun 27, 2015 4:37amJun 27, 2015 4:37am",Martingale EA.  Almost can't lose!,Rookie Talk,https://www.forexfactory.com/thread/post/10118472#post10118472,174
